elapsedTime,ms,pressureSetPoint,setPointType,stepCount,pressureError,totalStepCount,controlledPressure,pressureAbs,pressureGauge,pressureBaro,pressureOld,stepSize,pressureCorrectionTarget,requestedMotorCurrent,measuredMotorCurrent,opticalSensorReading,pistonPosition,motorSpeed,inRange,pumpTolerance,minSysVolumeEstimate,maxSysVolumeEstimate,minEstimatedLeakRate,maxEstimatedLeakRate,measuredPressure,smoothedPressure,changeInPressure,prevChangeInPressure,dP2,estimatedVolume,algorithmType,changeInVolume,prevChangeInVolume,dV2,measuredVolume,estimatedLeakRate,measuredLeakRate,estimatedKp,measuredKp,sensorUncertainty,uncertaintyPressureDiff,uncertaintyVolumeEstimate,uncertaintyMeasuredVolume,uncertaintyVolumeChange,uncertaintyEstimatedLeakRate,uncertaintyMeasuredLeakRate,maxZScore,lambda,uncertaintySmoothedPressureError,targetdP,smoothedPressureError,smoothedSquaredPressureError,gamma,predictionError,predictionErrorType,maxAchievablePressure,minAcheivablePressure,maxPositivePressureChangeAchievable,maxNegativePressureChangeAchievable,minPressureAdjustmentFactor,nominalHomePosition,expectedPressureCenterPosition,maxIterationsIIRFilter,minInterationsIIRFilter,changeToEstimatedleakRate,alpha,smoothedPressureErrorForCorrection,log10Epsilon,residualLeakRate,measuredLeakRate1,numberOfControlIterations,status,pumpUp,pumpDown,control,venting,stable,vented,excessLeak,excessVOlume,overPressure,excessOffset,measure,fineControl,pistonCentered,centering,controlledVent,centeringVent,rangeExceeded,coarseControlError,ventDirUp,ventDirDown
1517443260363,0,0.0,0,0,0.0,24574,-35.97998046875,917.111083984375,-35.97998046875,953.091064453125,1.1210387714598537e-44,0,0.0,0.0,0.0,1094,24574,0.0,1,0.004999999888241291,5.0,100.0,0.0,0.20000000298023224,917.111083984375,917.111083984375,0.0,0.0,-1.333197915925893e+29,100.0,0,0.0,0.0,-2.4494235515594482,100.0,0.0,0.0,500.0,3.901194376488025e-34,0.03999999910593033,0.07999999821186066,100000000.0,7.686717253818642e-07,7.686717253818642e-07,0.07999999821186066,0.009800000116229057,2.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.9800000190734863,0.0,0,0.0,0.0,1000000.0,-1000000.0,0.004999999888241291,25000,0.0,100,10,0,1036831949,0,3207803699,2426081242,2338213352,1730419954,00010100000010000000000000000000,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1517443260371,0,0.0,0,0,0.0,24574,-35.841796875,917.249267578125,-35.841796875,953.091064453125,1.1210387714598537e-44,0,0.0,0.0,0.0,1095,24574,0.0,1,0.004999999888241291,5.0,100.0,0.0,0.20000000298023224,917.249267578125,917.249267578125,0.0,0.0,-1.333197915925893e+29,100.0,0,0.0,0.0,-2.4494235515594482,100.0,0.0,0.0,500.0,3.901194376488025e-34,0.03999999910593033,0.07999999821186066,100000000.0,7.686717253818642e-07,7.686717253818642e-07,0.07999999821186066,0.009800000116229057,2.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.9800000190734863,0.0,0,0.0,0.0,1000000.0,-1000000.0,0.004999999888241291,25000,0.0,100,10,0,1036831949,0,3207803699,2426081242,2338213352,1730419954,00010100000010000000000000000000,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1517443260382,0,0.0,0,0,0.0,24601,-35.685302734375,917.40576171875,-35.685302734375,953.091064453125,1.1210387714598537e-44,0,0.0,0.0,0.0,1095,24601,0.0,1,0.004999999888241291,5.0,100.0,0.0,0.20000000298023224,917.40576171875,917.40576171875,0.0,0.0,-1.333197915925893e+29,100.0,0,0.0,0.0,-2.4494235515594482,100.0,0.0,0.0,500.0,3.901194376488025e-34,0.03999999910593033,0.07999999821186066,100000000.0,7.686717253818642e-07,7.686717253818642e-07,0.07999999821186066,0.009800000116229057,2.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.9800000190734863,0.0,0,0.0,0.0,1000000.0,-1000000.0,0.004999999888241291,25000,0.0,100,10,0,1036831949,0,3207803699,2426081242,2338213352,1730419954,00010100000010000000000000000000,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1517443260390,0,0.0,0,0,0.0,24601,-35.78955078125,917.301513671875,-35.78955078125,953.091064453125,1.1210387714598537e-44,0,0.0,0.0,0.0,1095,24601,0.0,1,0.004999999888241291,5.0,100.0,0.0,0.20000000298023224,917.301513671875,917.301513671875,0.0,0.0,-1.333197915925893e+29,100.0,0,0.0,0.0,-2.4494235515594482,100.0,0.0,0.0,500.0,3.901194376488025e-34,0.03999999910593033,0.07999999821186066,100000000.0,7.686717253818642e-07,7.686717253818642e-07,0.07999999821186066,0.009800000116229057,2.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.9800000190734863,0.0,0,0.0,0.0,1000000.0,-1000000.0,0.004999999888241291,25000,0.0,100,10,0,1036831949,0,3207803699,2426081242,2338213352,1730419954,00010100000010000000000000000000,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1517443260402,0,0.0,0,0,0.0,24601,-35.673095703125,917.41796875,-35.673095703125,953.091064453125,1.1210387714598537e-44,0,0.0,0.0,0.0,1095,24601,0.0,1,0.004999999888241291,5.0,100.0,0.0,0.20000000298023224,917.41796875,917.41796875,0.0,0.0,-1.333197915925893e+29,100.0,0,0.0,0.0,-2.4494235515594482,100.0,0.0,0.0,500.0,3.901194376488025e-34,0.03999999910593033,0.07999999821186066,100000000.0,7.686717253818642e-07,7.686717253818642e-07,0.07999999821186066,0.009800000116229057,2.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.9800000190734863,0.0,0,0.0,0.0,1000000.0,-1000000.0,0.004999999888241291,25000,0.0,100,10,0,1036831949,0,3207803699,2426081242,2338213352,1730419954,00010100000010000000000000000000,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1517443260421,0,0.0,0,0,0.0,24574,-36.1494140625,916.941650390625,-36.1494140625,953.091064453125,1.1210387714598537e-44,0,0.0,0.0,0.0,1094,24574,0.0,1,0.004999999888241291,5.0,100.0,0.0,0.20000000298023224,916.941650390625,916.941650390625,0.0,0.0,-1.333197915925893e+29,100.0,0,0.0,0.0,-2.4494235515594482,100.0,0.0,0.0,500.0,3.901194376488025e-34,0.03999999910593033,0.07999999821186066,100000000.0,7.686717253818642e-07,7.686717253818642e-07,0.07999999821186066,0.009800000116229057,2.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.9800000190734863,0.0,0,0.0,0.0,1000000.0,-1000000.0,0.004999999888241291,25000,0.0,100,10,0,1036831949,0,3207803699,2426081242,2338213352,1730419954,00010100000010000000000000000000,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1517443260429,0,0.0,0,0,0.0,24574,-35.99365234375,917.097412109375,-35.99365234375,953.091064453125,1.1210387714598537e-44,0,0.0,0.0,0.0,1094,24574,0.0,1,0.004999999888241291,5.0,100.0,0.0,0.20000000298023224,917.097412109375,917.097412109375,0.0,0.0,-1.333197915925893e+29,100.0,0,0.0,0.0,-2.4494235515594482,100.0,0.0,0.0,500.0,3.901194376488025e-34,0.03999999910593033,0.07999999821186066,100000000.0,7.686717253818642e-07,7.686717253818642e-07,0.07999999821186066,0.009800000116229057,2.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.9800000190734863,0.0,0,0.0,0.0,1000000.0,-1000000.0,0.004999999888241291,25000,0.0,100,10,0,1036831949,0,3207803699,2426081242,2338213352,1730419954,00010100000010000000000000000000,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1517443260441,0,0.0,0,0,0.0,24601,-35.692626953125,917.3984375,-35.692626953125,953.091064453125,1.1210387714598537e-44,0,0.0,0.0,0.0,1095,24601,0.0,1,0.004999999888241291,5.0,100.0,0.0,0.20000000298023224,917.3984375,917.3984375,0.0,0.0,-1.333197915925893e+29,100.0,0,0.0,0.0,-2.4494235515594482,100.0,0.0,0.0,500.0,3.901194376488025e-34,0.03999999910593033,0.07999999821186066,100000000.0,7.686717253818642e-07,7.686717253818642e-07,0.07999999821186066,0.009800000116229057,2.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.9800000190734863,0.0,0,0.0,0.0,1000000.0,-1000000.0,0.004999999888241291,25000,0.0,100,10,0,1036831949,0,3207803699,2426081242,2338213352,1730419954,00010100000010000000000000000000,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1517443260449,0,0.0,0,0,0.0,24601,-36.005859375,917.085205078125,-36.005859375,953.091064453125,1.1210387714598537e-44,0,0.0,0.0,0.0,1095,24601,0.0,1,0.004999999888241291,5.0,100.0,0.0,0.20000000298023224,917.085205078125,917.085205078125,0.0,0.0,-1.333197915925893e+29,100.0,0,0.0,0.0,-2.4494235515594482,100.0,0.0,0.0,500.0,3.901194376488025e-34,0.03999999910593033,0.07999999821186066,100000000.0,7.686717253818642e-07,7.686717253818642e-07,0.07999999821186066,0.009800000116229057,2.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.9800000190734863,0.0,0,0.0,0.0,1000000.0,-1000000.0,0.004999999888241291,25000,0.0,100,10,0,1036831949,0,3207803699,2426081242,2338213352,1730419954,00010100000010000000000000000000,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1517443260460,0,0.0,0,0,0.0,24601,-36.230224609375,916.86083984375,-36.230224609375,953.091064453125,1.1210387714598537e-44,0,0.0,0.0,0.0,1095,24601,0.0,1,0.004999999888241291,5.0,100.0,0.0,0.20000000298023224,916.86083984375,916.86083984375,0.0,0.0,-1.333197915925893e+29,100.0,0,0.0,0.0,-2.4494235515594482,100.0,0.0,0.0,500.0,3.901194376488025e-34,0.03999999910593033,0.07999999821186066,100000000.0,7.686717253818642e-07,7.686717253818642e-07,0.07999999821186066,0.009800000116229057,2.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.9800000190734863,0.0,0,0.0,0.0,1000000.0,-1000000.0,0.004999999888241291,25000,0.0,100,10,0,1036831949,0,3207803699,2426081242,2338213352,1730419954,00010100000010000000000000000000,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1517443260480,0,0.0,0,0,0.0,24601,-35.60107421875,917.489990234375,-35.60107421875,953.091064453125,1.1210387714598537e-44,0,0.0,0.0,0.0,1095,24601,0.0,1,0.004999999888241291,5.0,100.0,0.0,0.20000000298023224,917.489990234375,917.489990234375,0.0,0.0,-1.333197915925893e+29,100.0,0,0.0,0.0,-2.4494235515594482,100.0,0.0,0.0,500.0,3.901194376488025e-34,0.03999999910593033,0.07999999821186066,100000000.0,7.686717253818642e-07,7.686717253818642e-07,0.07999999821186066,0.009800000116229057,2.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.9800000190734863,0.0,0,0.0,0.0,1000000.0,-1000000.0,0.004999999888241291,25000,0.0,100,10,0,1036831949,0,3207803699,2426081242,2338213352,1730419954,00010100000010000000000000000000,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1517443260488,0,0.0,0,0,0.0,24601,-35.738037109375,917.35302734375,-35.738037109375,953.091064453125,1.1210387714598537e-44,0,0.0,0.0,0.0,1095,24601,0.0,1,0.004999999888241291,5.0,100.0,0.0,0.20000000298023224,917.35302734375,917.35302734375,0.0,0.0,-1.333197915925893e+29,100.0,0,0.0,0.0,-2.4494235515594482,100.0,0.0,0.0,500.0,3.901194376488025e-34,0.03999999910593033,0.07999999821186066,100000000.0,7.686717253818642e-07,7.686717253818642e-07,0.07999999821186066,0.009800000116229057,2.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.9800000190734863,0.0,0,0.0,0.0,1000000.0,-1000000.0,0.004999999888241291,25000,0.0,100,10,0,1036831949,0,3207803699,2426081242,2338213352,1730419954,00010100000010000000000000000000,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1517443260507,0,0.0,0,0,0.0,24601,-35.702392578125,917.388671875,-35.702392578125,953.091064453125,1.1210387714598537e-44,0,0.0,0.0,0.0,1095,24601,0.0,1,0.004999999888241291,5.0,100.0,0.0,0.20000000298023224,917.388671875,917.388671875,0.0,0.0,-1.333197915925893e+29,100.0,0,0.0,0.0,-2.4494235515594482,100.0,0.0,0.0,500.0,3.901194376488025e-34,0.03999999910593033,0.07999999821186066,100000000.0,7.686717253818642e-07,7.686717253818642e-07,0.07999999821186066,0.009800000116229057,2.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.9800000190734863,0.0,0,0.0,0.0,1000000.0,-1000000.0,0.004999999888241291,25000,0.0,100,10,0,1036831949,0,3207803699,2426081242,2338213352,1730419954,00010100000010000000000000000000,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1517443260519,0,0.0,0,0,0.0,24601,-36.255126953125,916.8359375,-36.255126953125,953.091064453125,1.1210387714598537e-44,0,0.0,0.0,0.0,1095,24601,0.0,1,0.004999999888241291,5.0,100.0,0.0,0.20000000298023224,916.8359375,916.8359375,0.0,0.0,-1.333197915925893e+29,100.0,0,0.0,0.0,-2.4494235515594482,100.0,0.0,0.0,500.0,3.901194376488025e-34,0.03999999910593033,0.07999999821186066,100000000.0,7.686717253818642e-07,7.686717253818642e-07,0.07999999821186066,0.009800000116229057,2.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.9800000190734863,0.0,0,0.0,0.0,1000000.0,-1000000.0,0.004999999888241291,25000,0.0,100,10,0,1036831949,0,3207803699,2426081242,2338213352,1730419954,00010100000010000000000000000000,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1517443260527,0,0.0,0,0,0.0,24601,-35.574462890625,917.5166015625,-35.574462890625,953.091064453125,1.1210387714598537e-44,0,0.0,0.0,0.0,1095,24601,0.0,1,0.004999999888241291,5.0,100.0,0.0,0.20000000298023224,917.5166015625,917.5166015625,0.0,0.0,-1.333197915925893e+29,100.0,0,0.0,0.0,-2.4494235515594482,100.0,0.0,0.0,500.0,3.901194376488025e-34,0.03999999910593033,0.07999999821186066,100000000.0,7.686717253818642e-07,7.686717253818642e-07,0.07999999821186066,0.009800000116229057,2.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.9800000190734863,0.0,0,0.0,0.0,1000000.0,-1000000.0,0.004999999888241291,25000,0.0,100,10,0,1036831949,0,3207803699,2426081242,2338213352,1730419954,00010100000010000000000000000000,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1517443260539,0,0.0,0,0,0.0,24601,-35.805908203125,917.28515625,-35.805908203125,953.091064453125,1.1210387714598537e-44,0,0.0,0.0,0.0,1095,24601,0.0,1,0.004999999888241291,5.0,100.0,0.0,0.20000000298023224,917.28515625,917.28515625,0.0,0.0,-1.333197915925893e+29,100.0,0,0.0,0.0,-2.4494235515594482,100.0,0.0,0.0,500.0,3.901194376488025e-34,0.03999999910593033,0.07999999821186066,100000000.0,7.686717253818642e-07,7.686717253818642e-07,0.07999999821186066,0.009800000116229057,2.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.9800000190734863,0.0,0,0.0,0.0,1000000.0,-1000000.0,0.004999999888241291,25000,0.0,100,10,0,1036831949,0,3207803699,2426081242,2338213352,1730419954,00010100000010000000000000000000,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1517443260558,0,0.0,0,0,0.0,24601,-35.44580078125,917.645263671875,-35.44580078125,953.091064453125,1.1210387714598537e-44,0,0.0,0.0,0.0,1095,24601,0.0,1,0.004999999888241291,5.0,100.0,0.0,0.20000000298023224,917.645263671875,917.645263671875,0.0,0.0,-1.333197915925893e+29,100.0,0,0.0,0.0,-2.4494235515594482,100.0,0.0,0.0,500.0,3.901194376488025e-34,0.03999999910593033,0.07999999821186066,100000000.0,7.686717253818642e-07,7.686717253818642e-07,0.07999999821186066,0.009800000116229057,2.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.9800000190734863,0.0,0,0.0,0.0,1000000.0,-1000000.0,0.004999999888241291,25000,0.0,100,10,0,1036831949,0,3207803699,2426081242,2338213352,1730419954,00010100000010000000000000000000,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1517443260566,0,0.0,0,0,0.0,24601,-35.909912109375,917.18115234375,-35.909912109375,953.091064453125,1.1210387714598537e-44,0,0.0,0.0,0.0,1095,24601,0.0,1,0.004999999888241291,5.0,100.0,0.0,0.20000000298023224,917.18115234375,917.18115234375,0.0,0.0,-1.333197915925893e+29,100.0,0,0.0,0.0,-2.4494235515594482,100.0,0.0,0.0,500.0,3.901194376488025e-34,0.03999999910593033,0.07999999821186066,100000000.0,7.686717253818642e-07,7.686717253818642e-07,0.07999999821186066,0.009800000116229057,2.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.9800000190734863,0.0,0,0.0,0.0,1000000.0,-1000000.0,0.004999999888241291,25000,0.0,100,10,0,1036831949,0,3207803699,2426081242,2338213352,1730419954,00010100000010000000000000000000,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
