Iterations,Elapsed time,Pressure,Filtered Pressure,Raw Pressure,Raw Temperature,Filtered
1,70.0,942.49915,942.49915,7520215,4731136,4731136
2,61.0,942.47333,942.47333,7520190,4731136,4731136
3,63.0,942.49915,942.49915,7520215,4731136,4731136
4,61.0,942.49915,942.49915,7520215,4731136,4731136
5,63.0,942.49915,942.49915,7520215,4731136,4731136
6,62.0,942.47333,942.47333,7520190,4731136,4731136
7,62.0,942.52435,942.52435,7520239,4731136,4731136
8,61.0,942.49725,942.49725,7520213,4731136,4731136
9,64.0,942.49725,942.49725,7520213,4731136,4731136
10,61.0,942.49725,942.49725,7520213,4731136,4731136
11,54.0,942.49915,942.49915,7520215,4731136,4731136
12,62.0,942.52631,942.52631,7520241,4731136,4731136
13,62.0,942.52631,942.52631,7520241,4731136,4731136
14,59.0,942.49915,942.49915,7520215,4731136,4731136
15,63.0,942.49915,942.49915,7520215,4731136,4731136
16,62.0,942.49915,942.49915,7520215,4731136,4731136
17,61.0,942.49725,942.49725,7520213,4731136,4731136
18,61.0,942.49725,942.49725,7520213,4731136,4731136
19,62.0,942.47009,942.47009,7520187,4731136,4731136
20,62.0,942.47009,942.47009,7520187,4731136,4731136
21,61.0,942.49915,942.49915,7520215,4731136,4731136
22,62.0,942.49915,942.49915,7520215,4731136,4731136
23,62.0,942.49915,942.49915,7520215,4731136,4731136
24,62.0,942.44684,942.44684,7520164,4731136,4731136
25,55.0,942.52631,942.52631,7520241,4731136,4731136
26,61.0,942.52631,942.52631,7520241,4731136,4731136
27,62.0,942.49915,942.49915,7520215,4731136,4731136
28,62.0,942.49915,942.49915,7520215,4731136,4731136
29,61.0,942.52435,942.52435,7520239,4731136,4731136
30,62.0,942.52435,942.52435,7520239,4731136,4731136
31,61.0,942.52435,942.52435,7520239,4731136,4731136
32,62.0,942.49725,942.49725,7520213,4731136,4731136
33,62.0,942.47333,942.47333,7520190,4731136,4731136
34,62.0,942.44684,942.44684,7520164,4731136,4731136
35,62.0,942.52631,942.52631,7520241,4731136,4731136
36,62.0,942.52631,942.52631,7520241,4731136,4731136
37,60.0,942.49915,942.49915,7520215,4731136,4731136
38,62.0,942.49915,942.49915,7520215,4731136,4731136
39,61.0,942.47009,942.47009,7520187,4731136,4731136
40,63.0,942.47009,942.47009,7520187,4731136,4731136
41,63.0,942.49725,942.49725,7520213,4731136,4731136
42,62.0,942.52435,942.52435,7520239,4731136,4731136
43,61.0,942.49915,942.49915,7520215,4731136,4731136
44,63.0,942.49915,942.49915,7520215,4731136,4731136
45,62.0,942.49915,942.49915,7520215,4731136,4731136
46,61.0,942.52631,942.52631,7520241,4731136,4731136
47,62.0,942.49915,942.49915,7520215,4731136,4731136
48,63.0,942.49915,942.49915,7520215,4731136,4731136
49,59.0,942.49915,942.49915,7520215,4731136,4731136
50,63.0,942.52631,942.52631,7520241,4731136,4731136
51,62.0,942.52435,942.52435,7520239,4731136,4731136
52,62.0,942.49725,942.49725,7520213,4731136,4731136
53,62.0,942.49725,942.49725,7520213,4731136,4731136
54,62.0,942.49725,942.49725,7520213,4731136,4731136
55,62.0,942.52435,942.52435,7520239,4731136,4731136
56,63.0,942.52631,942.52631,7520241,4731136,4731136
57,63.0,942.49915,942.49915,7520215,4731136,4731136
58,63.0,942.49915,942.49915,7520215,4731136,4731136
59,62.0,942.49915,942.49915,7520215,4731136,4731136
60,64.0,942.49915,942.49915,7520215,4731136,4731136
61,62.0,942.49915,942.49915,7520215,4731136,4731136
62,63.0,942.49915,942.49915,7520215,4731136,4731136
63,61.0,942.49915,942.49915,7520215,4731136,4731136
64,61.0,942.52435,942.52435,7520239,4731136,4731136
65,62.0,942.52435,942.52435,7520239,4731136,4731136
66,62.0,942.49725,942.49725,7520213,4731136,4731136
67,61.0,942.52435,942.52435,7520239,4731136,4731136
68,62.0,942.52435,942.52435,7520239,4731136,4731136
69,63.0,942.49335,942.49335,7520209,4731136,4731136
70,62.0,942.49915,942.49915,7520215,4731136,4731136
71,60.0,942.49915,942.49915,7520215,4731136,4731136
72,63.0,942.49915,942.49915,7520215,4731136,4731136
73,63.0,942.47333,942.47333,7520190,4731136,4731136
74,61.0,942.49725,942.49725,7520213,4731136,4731136
75,62.0,942.49725,942.49725,7520213,4731136,4731136
76,64.0,942.49725,942.49725,7520213,4731136,4731136
77,61.0,942.49725,942.49725,7520213,4731136,4731136
78,61.0,942.47333,942.47333,7520190,4731136,4731136
79,61.0,942.52631,942.52631,7520241,4731136,4731136
80,61.0,942.49915,942.49915,7520215,4731136,4731136
81,63.0,942.49915,942.49915,7520215,4731136,4731136
82,61.0,942.49915,942.49915,7520215,4731136,4731136
83,62.0,942.5528,942.5528,7520267,4731136,4731136
84,61.0,942.52826,942.52826,7520243,4731136,4731136
85,62.0,942.49725,942.49725,7520213,4731136,4731136
86,62.0,942.49725,942.49725,7520213,4731136,4731136
87,61.0,942.52435,942.52435,7520239,4731136,4731136
88,60.0,942.49725,942.49725,7520213,4731136,4731136
89,64.0,942.49915,942.49915,7520215,4731136,4731136
90,62.0,942.49915,942.49915,7520215,4731136,4731136
91,62.0,942.49915,942.49915,7520215,4731136,4731136
92,62.0,942.52631,942.52631,7520241,4731136,4731136
93,64.0,942.49915,942.49915,7520215,4731136,4731136
94,62.0,942.50238,942.50238,7520218,4731136,4731136
95,62.0,942.50238,942.50238,7520218,4731136,4731136
96,62.0,942.49725,942.49725,7520213,4731136,4731136
97,61.0,942.52435,942.52435,7520239,4731136,4731136
98,61.0,942.52435,942.52435,7520239,4731136,4731136
99,64.0,942.52435,942.52435,7520239,4731136,4731136
100,62.0,942.52435,942.52435,7520239,4731136,4731136
101,64.0,942.49915,942.49915,7520215,4731136,4731136
